id,title,set_poster_by_filename,released,length,description
577,"Baby Mama",babymama.jpg,2008-04-25,99,"Successful and single businesswoman Kate Holbrook has long put her career ahead of a personal life. Now 37, she's finally determined to have a kid on her own. But her plan is thrown a curve ball after she discovers she has only a million-to-one chance of getting pregnant. Undaunted, the driven Kate allows South Philly working girl Angie Ostrowiski to become her unlikely surrogate. Simple enough ... After learning from the steely head of their surrogacy center that Angie is pregnant, Kate goes into precision nesting mode: reading childcare books, baby-proofing the apartment and researching top pre-schools. But the executive's well-organized strategy is turned upside down when her Baby Mama shows up at her doorstep with no place to live. An unstoppable force meets an immovable object as structured Kate tries to turn vibrant Angie into the perfect expectant mom. In a battle of wills, they will struggle their way through preparation for the baby's arrival. And in the middle of this tug-of-war, they'll discover two kinds of family: the one you're born to and the one you make."
578,"Remember the Titans",rememberthetitans.jpg,2000-09-29,120,"In the early 1970s, two schools in Alexandria Virginia integrate forming T.C. Williams High School. The Caucasian head coach of the Titans is replaced by an African American coach from North Carolina. Tensions arise when players of different races are forced together on the same football team. Many of these tensions are eased during the two-week training camp in Gettysburg, Pennsylvania. When players returned to Alexandria the players found the city in turmoil due to the forced desegregation of the high school. As the season progresses the team's success caused the community to accept the changes. After the Titans' perfect season, the team and the city were closer than ever."
579,"Run, Fatboy, Run",runfatboyrun.jpg,2008-03-28,100,"U.K.-born Dennis Doyle is in love with Elizabeth Odell, both get intimate, and when Elizabeth gets pregnant, plan to get married. On the day of the marriage, Dennis gets cold feet at the 11th hour and flees. Five years later, Dennis regrets this decision and attempts to re-enter Elizabeth and his son's lives encouraged by his friends, Gordon, and Ghoshadi Das, a Londoner originally from India. He decides to impress her by participating in a marathon-run in London. Before he could even act further, he finds out that Elizabeth has an American boyfriend, Whit, who proposes to her - and she accepts. Watch what impact this has on a visibly overweight Dennis' decision to continue to participate in the marathon-run."
580,"Brian Regan: Standing Up",brianreganstandingup.jpg,2007-06-10,60,"Straight off a coast to coast tour and into your living room, Brian Regan: Standing Up comes to DVD. Butterflies, show horses and greeting cards are no match when this master of standup grabs the microphone. His comedy, big enough for everyone, sharp enough for you, keeps audiences coming back time and again for more!"
581,"Nothing to Lose",nothingtolose.jpg,1997-07-18,98,"When a man (Robbins) believes he has discovered that his wife is having an affair with his boss, it sets off a chain reaction of events. First he wanders into a ghetto where a robber (Lawrence) tries to take his money at gunpoint, but instead sets a wild ride from California to Arizona. The two eventually become reluctant friends. Discussing robbery techniques, they decide to get back at the boss by robbing an office safe containing hundreds of thousands of dollars. Life is further complicated by another pair of robbers who chase the first two for infringing on their territory."
582,"Promotion, The",promotionthe.jpg,2008-06-06,86,"At 33, Doug Stauber is ready for a promotion. He's married, wants to buy a house, and is assistant manager at a Chicago supermarket that's building a new store in his neighborhood. His boss tells him he's a shoe in to manage the new store, then, a rival appears - Richard Wehlner, transferred from Canada. Richard has a deeper resume than Doug, is really nice, has a wife and daughter, and wants the promotion to manager, too. How should Doug behave toward Richard - as a friend, a colleague, a competitor, or an enemy? Richard, it seems, has demons and a past, but with the help of motivational tapes, he's resolved to succeed. Corporate and personal tests await the two men."
583,"Strangers, The",strangersthe.jpg,2008-05-30,88,"After returning from a wedding reception, a couple staying in an isolated vacation house receive a knock on the door in the mid-hours of the night. What ensues is a violent invasion by three strangers, their faces hidden behind masks. The couple find themselves in a violent struggle, in which they go beyond what either of them thought capable in order to survive."
584,"Incredible Hulk, The",incrediblehulkthe.jpg,2008-06-13,112,"Depicting the events after the Gamma Bomb. 'The Incredible Hulk' tells the story of Dr Bruce Banner, who seeks a cure to his unique condition, which causes him to turn into a giant green monster under emotional stress. Whilst on the run from military which seeks his capture, Banner comes close to a cure. But all is lost when a new creature emerges; The Abomination."
585,"28 Weeks Later",28weekslater.jpg,2007-05-11,99,"In the country nearby London, Don, his wife Alice and a few survivors live hidden in a farmhouse. When infected people break in the house, Dan panics and does not help his wife to escape, running away and leaving Alice trapped inside the room. Twenty eight weeks after the outbreak that annihilated the population of Great Britain, London is considered safe and the British survivors return under the coordination of the American Army, that keeps the city under permanent surveillance. The teenager Tammy and her younger brother Andy travel back from Spain to live with their father Don in London. They miss their mother and decide to escape to their old house to retrieve pictures and some other personal belongings. However, they find Alice surprisingly alive and the Army brings her to the base. After some blood test, the biologist Scarlet discovers that Alice is a carrier of the lethal virus and somehow has immunity to it. Meanwhile, Don sneaks through the facility to say how sorry he is to Alice, who forgives him. When he kisses her, he is immediately contaminated, spreading a new epidemic."
586,"Tango and Cash",tangoandcash.jpg,1989-12-22,104,"Ray Tango is a Los Angeles narcotics cop who dresses in fancy suits, wears wire-rim glasses, and talks to his stockbroker more than he talks to his mother. Gabriel Cash is a Los Angeles narcotics cop who has long, disheveled hair, and dresses in worn-out sweatshirts. Even though they are rivals, Tango and Cash are the two best narcs in LA, which infuriates drug kingpin Yves Perret. Perret wants Tango and Cash out of the way, so Perret frames them for the murder of an undercover FBI agent. Perret's plan is to have Tango and Cash killed in prison in order to avoid risking all-out war with the LAPD. But Tango and Cash accept a plea bargain that will give them 18 months in a minimum-security prison, then Perret arranges for their destination to be diverted to a maximum-security prison where Perret's minions proceed to torture Tango and Cash. Tango and Cash are forced to work together in a spectacular escape from the prison. After the escape, Tango and Cash set out to prove their innocence, and Cash has a romance with Tango's sister Catherine ""kiki"" Tango."
587,"Judge Dredd",judgedredd.jpg,1995-06-30,96,"In the future, the Earth transforms into a desert wasteland called ""The Cursed Earth"". Crowds of people now live within walled ""Mega Cities"" where crime is out-of-control and elite police forces (The Judges. Judge, Jury and Executioners all in one) enforces law and justice in the Mega Cities. Judge Joseph Dredd, the greatest Judge in Mega City One is framed for the assassination of a journalist and his wife by Renegade Judge Rico. Learning the truth about himself from Chief Justice Fargo, head of the council of Judges. Dredd with help from colleague and trusted friend Judge Hershey and cowardly computer hacker Fergie sets out to take on Rico, corrupt council member Judge Griffin and genetics scientist Ilsa Hayden and the super-strong ABC robot and put a stop to their evil plan involving genetic engineering (The key to the secrets of Dredd's past) and unleashing chaos and destruction in Mega City One."
588,"Forgetting Sarah Marshall",forgettingsarahmarshall.jpg,2008-04-18,118,"Peter is a composer and a likable sad guy who's devastated when his girlfriend of five years, Sarah Marshall, the star of a cheesy CSI-style crime show, dumps him. He weeps, he rails, he mopes. Finally, his step-brother Brian suggests Hawaii, so Peter heads for a resort on Oahu where, as he's checking in, he sees Sarah and her new beau, Aldous, a polymorphously perverse English rocker. The weeping and moping starts again, until Peter is rescued by Rachel, a thoughtful hotel clerk who invites him to a luau and to hang out. Although he constantly runs into Sarah and Aldous, Peter starts to come alive again. Will Sarah realize what she's lost, and what about Rachel? "
589,"Iron Man",ironman.jpg,2008-05-02,126,"The playboy wolf and genius Tony Stark is the successful CIO of the Stark Industries, a weapon company founded by his father. His second in command is Obadiah Stane, who worked with his father, and his loyal and professional secretary is Pepper Potts, who has a crush on Tony. While in Afghanistan to demonstrate the ultimate Jericho missile developed by his company, his military convoy is attacked and Tony is seriously wounded on his chest and kidnapped by a group of rebels that wants him to assemble a missile for their use. Tony stays with his abductors for three months and develops a powerful metallic armor to escape from the cave where he is arrested. He decides to stop manufacturing weapons in his company under the protest of Obadiah, and dedicates his time to improve the armor, manufacturing it with gold and titanium and installing a propulsion system to fly. However, Pepper discovers that Tony was betrayed by Obadiah, who is using Tony's data to build prototype armor for him, transforming it in the ultimate weapon."
590,"War Inc.",warinc.jpg,2008-09-04,107,"A political satire set in Turaqistan, a country occupied by an American private corporation run by a former US Vice-President. In an effort to monopolize the opportunities the war-torn nation offers, the corporation's CEO hires a troubled hit man, to kill a Middle East oil minister. Now, struggling with his own growing demons, the assassin must pose as the corporation's Trade Show Producer in order to pull off this latest hit, while maintaining his cover by organizing the high-profile wedding of Yonica Babyyeah an outrageous Middle Eastern pop star, and keeping a sexy left wing reporter in check."
591,Platoon,platoon.jpg,1986-12-24,120,"Chris Taylor is a young, naive American who gives up college and volunteers for combat in Vietnam. Upon arrival, he quickly discovers that his presence is quite nonessential, and is considered insignificant to the other soldiers, as he has not fought for as long as the rest of them and felt the effects of combat. Chris has two commanding officers, the ill-tempered and indestructible Staff Sergeant Robert Barnes and the more pleasant and cooperative Sergeant Elias Grodin. A line is drawn between the two officers and a number of men in the platoon when an illegal killing occurs during a village raid. As the war continues, Chris himself draws towards psychological meltdown. And as he struggles for survival, he soon realizes he is fighting two battles, the conflict with the enemy and the conflict between the men within his platoon."
592,"Futurama: Benders Game",futuramabendersgame.jpg,2008-11-04,88,"The Planet Express crew get trapped in a fantasy world."
593,"Get Smart",getsmart.jpg,2008-06-20,110,"American Maxwell Smart works for a Government spy agency in an administrative capacity. When the agency's head office is attacked, the Chief decides to assign Maxwell as a spy and partners him with sexy Agent 99, much to her chagrin. The duo nevertheless set off to combat their attackers by first parachuting off an airplane and landing in Russian territory - followed closely by a over seven foot tall, 400 pound goon, known simply as Dalip. The duo, handicapped by Maxwell's antics, will eventually have their identities compromised, and may be chalked up as casualties while back in America their attackers have already planted a bomb that is set-up to explode in a concert. "
594,"Hulk, The",hulkthe.jpg,2003-06-20,138,"After a terrible accident of Bruce banner in the lab his extraordinary mind is now making him angry.He then figures out that David banner is his real father.Bruce has now turned into hulk and nothing can stop him for when he is angry.Betty is the only person that can stop him from being angry.Betty has now gone to the father to ask for help how to help him,but the father has now sent his super villian dogs like hulk to kill her,hulk is now the only person to stop the mutant dogs.David banner has now transformed himself into anything he touches and with evil power,hulk must now save the world and save the people."
595,Leatherheads,leatherheads.jpg,2008-04-04,114,"A romantic comedy set against the backdrop of America's nascent pro-football league in 1925. Dodge Connolly, a charming, brash football hero, is determined to guide his team from bar brawls to packed stadiums. But after the players lose their sponsor and the entire league faces certain collapse, Dodge convinces a college football star to join his ragtag ranks. The captain hopes his latest move will help the struggling sport finally capture the country's attention. Welcome to the team Carter Rutherford, America's favorite son. A golden-boy war hero who single-handedly forced multiple German soldiers to surrender in WWI, Carter has dashing good looks and unparalleled speed on the field. This new champ is almost too good to be true, and Lexie Littleton aims to prove that's the case. A cub journalist playing in the big leagues, Lexie is a spitfire newswoman who suspects there are holes in Carter's war story. But while she digs, the two teammates start to become serious off-field rivals for her fickle affections. As the new game of pro-football becomes less like the freewheeling sport he knew and loved, Dodge must both fight to keep his guys together and to get the girl of his dreams. Finding that love and football have a surprisingly similar playbook, however, he has one maneuver he will save just for the fourth quarter..."
596,"Man on the Moon",manonthemoon.jpg,1999-12-22,118,"Man on the Moon is a biographical movie on the late comedian Andy Kaufman. Kaufman, along with his role on ""Taxi,"" was famous for being the self-declared Intergender Wrestling Champion of the world. After beating women time and time again, Jerry Lawler (who plays himself in the movie), a professional wrestler, got tired of seeing all of this and decided to challenge Kaufman to a match. In most of the matches the two had, Lawler prevailed with the piledriver, which is a move by spiking a guy head-first into the mat. In one of the most famous moments in this feud was in the early 80s when Kaufman threw coffee on Lawler on ""The Late Show with David Letterman,"" got into fisticuffs with Lawler, and proceeded to sue NBC."
597,"Dark Knight, The",darkknightthe.jpg,2008-07-18,152,"With just one year having passed after taking out Ra's Al Ghul's plan to have Gotham eliminated and the mysterious disappearance of Dr. Jonathan Crane AKA the Scarecrow, and after the city was nearly plundered with his toxins, Bruce Wayne and his vigilante alter-ego the Batman, continue the seemingly endless effort to bring order to Gotham, with the help of Lt. James Gordon and newly appointed District Attorney Harvey Dent. But a new threat has now emerged into the streets. The Dark Knight faces a rising psychopathic criminal called The Joker, whose eerie grin, laughter, and inhuman morality makes him as dangerous than what he has yet to unleash. It becomes an agenda to Batman to stop the mysterious Joker at all costs, knowing that both of them are in an opposite line. One has no method at all and seeks to see the world plunge into the fire he has yet to light. One represents the symbol of hope and uses his own shadow to bring the peace and order he has yet to accomplish doing."
598,August,august.jpg,2008-07-11,88,"Tom and Josh Sterling have a start-up dot-com. It's gone public to initial success. Josh is the technical genius. Tom is the fast-talking and abrasive CEO, in charge of the business side. It's August, 2001, less than a month before they can sell their shares and, perhaps, make lots of money. But the company is running out of cash, its main client is stalling, and share values are falling. For Tom to maintain the firm's appearance, he must find cash: investors could rescue him, but at a high cost of his potential wealth and company control. Tom goes to his brother for a loan. At the same time, an old flame, Sarrah, comes back to the city. Can Tom hold things together, bravura and all?"
599,Hancock,hancock.jpg,2008-07-02,102,"The powerful alcoholic and clumsy John Hancock is the most hated person in Los Angeles, as in spite of saving lives, he also destroys properties causing high cost to the city to fix his damages. When he saves the life of the PR Ray Embrey from a train, the executive feels in debt with Hancock and decides to change his image. He brings the anti-hero to have dinner at his home, and introduces him to his son and fan Aaron and to his wife, Mary. But Mary does not want Hancock in her life."
600,"Ice Age",iceage.jpg,2002-03-15,81,"20,000 years before, our planet is entering an ice age. All kinds of animals begin immigrating to the south, seeking more warm climates. Sid, a sloth who never stops talking is left behind sleeping while everyone else begins the journey to the south. Awaking, he meets Manny, a mammoth who travels to the north, and decides to follow him. When a humans camp is attacked by tigers, a woman takes her baby and jumps on a river. Before she drowns, the baby is rescued by Manny and Sid. The two animals decide to search for the father and return the baby to him. Diego, one of the tigers that attacked the humans, comes also claiming the baby."
601,"Robin Hood: Men in Tights",robinhoodmenintights.jpg,1993-07-28,104,"The standard story of Robin Hood: Evil Prince John is oppressing the people while good King Richard is away on the Crusades. Robin steals from the tax collectors, wins an archery contest, defeats the Sheriff, and rescues Maid Marian. In this version, however, Mel Brooks adds his own personal touch, parodying traditional adventure films, romance films, and the whole idea of men running around the woods in tights."
602,"Step Brothers",stepbrothers.jpg,2008-07-25,106,"Brennan Huff and Dale Doback are both about 40 when Brennan's mom and Dale's dad marry. The sons still live with the parents so they must now share a room. Initial antipathy threatens the household's peace and the parents' relationship. Dad lays down the law: both slackers have a week to find a job. Out of the job search and their love of music comes a pact that leads to friendship but more domestic disarray compounded by the boys' sleepwalking. Hovering nearby are Brennan's successful brother and his lonely wife: the brother wants to help sell his step-father's house, the wife wants Dale's attention, and the newlyweds want to retire and sail the seven seas. Can harmony come from the discord?"
603,"Usual Suspects, The",usualsuspectsthe.jpg,1995-08-16,106,"After a waterfront explosion, Verbal, an eye-witness and participant tells the story of events leading up to the conflagration. The story begins when five men are rounded up for a line-up, and grilled about a truck hijacking (the usual suspects). Least pleased is Keaton a crooked cop - exposed, indicted, but now desperately trying to go straight. The cops won't leave him alone, however, and as they wait for their lawyers to post bail, he is talked into doing one more job with the other four. All goes tolerably well until the influence of the legendary, seemingly omnipotent ""Keyser Soze"" is felt. Although set in the modern day, it has much of the texture of the forties, plus suspense, intrigue (a fairly high body count), and lots of twists in the plot."
604,"Big Daddy",bigdaddy.jpg,1999-06-25,93,"Sonny Koufax graduated from law school years ago but chose not to take the bar exam. Instead he works as a toll booth collector, and spends his day loafing around. One day his grilfriend decides that she has had enough, and tells Sonny that things have to change or else it's over. When Sonny's roommate Kevin leaves for China, a boy is dropped at their place and is told that he is Kevin's son but Kevin doesn't know his mother. Sonny takes care of him, and after spending sometime with him decides to adopt hoping that maybe his girlfriend will be impressed. But when he learns that she has a new boyfriend, Sonny tries to have the boy sent back to his mother but when he learns that she died and that he would be sent to an orphanage, Sonny decides to take care of him."
605,"Meet Dave",meetdave.JPG,2008-07-11,90,"A spaceship shaped like a human lands face first on Liberty Island. Its crew (of tiny, intelligent, and unemotional beings) is looking for an orb sent from its planet to extract the oceans' salt, which will ruin Earth. The orb is in the possession of Josh, the fifth-grade son of a single mom whose car strikes the ambulatory alien spaceship and cripples its power supply. The crew has 48 hours to recover the orb, throw it in the Atlantic, and leave Earth. Over the course of two days, the ship's crew experiences chaos and emotion in New York. Do Earth's giants - Josh and his mom - have anything to teach these brainy aliens? Meanwhile, mutiny is afoot and the cops are closing in."
606,"Without a Paddle",withoutapaddle.jpg,2004-08-20,95,"This is the story of three friends from the big city of Philadelphia who go canoeing together out in the woods and mountains of Oregon State after the death of a friend, Billy. Billy was obsessed with going there to search for the unaccounted-for $194,200 out of the $200,000 that famed airliner highjacker D.B. Cooper parachuted with quite possibly to his death in 1971 $5,800 of his marked ransom loot was found in 1980. Canoeing down the Columbia River, the trio soon finds that their canoeing experience goes wrong..., both horribly and hilariously wrong, as the river turns dangerous, and they have encounters with the crazy mountain men plays who live near the river..."
607,"Little Mermaid, The",littlemermaidthe.jpg,1989-11-17,83,"Loosely based upon the story by Hans Christian Andersen. Ariel, youngest daughter of King Triton, is dissatisfied with life in the sea. She longs to be with the humans above the surface, and is often caught in arguments with her father over those ""barbaric fish-eaters"". She goes to meet Ursula, the Sea Witch, to strike a deal, but Ursula has bigger plans for this mermaid and her father."
608,Blade,blade.jpg,1998-08-21,120,"When Blade's mother was bitten by a vampire during pregnancy, she did not know that she gave her son a special gift while dying: All the good vampire attributes in combination with the best human skills. Blade grew up to be a vampire hunter for revenge on his mother's death. The vampires, who managed to infiltrate nearly every major organization, need Blade's very special blood to summon La Magra, the blood god, in order to reign over the human cattle, as they call us."
609,"Death Race",deathrace.jpg,2008-08-22,111,"In 2012, amid economic chaos and high unemployment, Americans by the millions watch criminals with life sentences race armored cars on Terminal Island. Two-thirds of the combatants die but the winner may earn his freedom. On the day he loses his job, steelworker Jensen Ames is arrested for his wife's murder. Sent to Terminal Island, he's offered an out by the steely and manipulative Warden Hennessey - race as the popular mask-wearing (but now dead) champion, Frankenstein, or rot in prison. Jensen makes the bargain. As the three-stage race approaches, he realizes that the whole thing may be a set up - can an anonymous man behind a mask get revenge and win his release?"
610,"Hamlet 2",hamlet2.jpg,2008-08-27,92,"Dana Marschz is a failed actor and recovering alcoholic who's moved to Tucson to teach high school drama, where he's plagued by bad reviews, student indifference, budget woes (he and his wife, who is trying to get pregnant, take in a boarder), and his own teaching limitations. Because the other electives are closed, he finds himself with a large class of seeming gang-bangers, and the principal informs him that drama will be cut next trimester. On the advice of a student reviewer, Dana decides to stage his own play, a sequel to ""Hamlet"" in which the prince and Jesus, with the use of a time machine, try to save Gertrude and Ophelia. Can Dana for once pull something off? "
611,"Moving McAllister",movingmcallister.jpg,2008-01-29,89,"Rick Robinson is a ladder-climbing law intern from Miami with four days until the Bar Exam. Desperate to score points with his boss (McAllister), he commits to a favor he can't afford. He ends up in a rundown truck headed to L.A. with his boss's possessions, his Hollywood-bound niece, and her pet pig. Amidst hitch-hikers, breakdowns, and assorted local yokels, Rick finds love, life and maybe himself in this trans-American road trip from hell."
612,"Tropic Thunder",tropicthunder.jpg,2008-08-13,121,"A film crew is in Southeast Asia filming a Vietnam-war memoir. It's early in the shooting, but they're already behind schedule and over budget. On the day an accident befalls the novice director, the cast and crew are attacked by a gang of poppy-growing local drug dealers, except the cast and crew don't realize these aren't actors who are stalking them. The thugs kidnap Tugg Speedman, an actor whose star seems on the decline, and it's up to the rest of the ragtag team to band together long enough to attempt his rescue. But will Tugg want to leave?"
613,"Men in Black",meninblack.jpg,1997-07-02,98,"Men in Black follows the exploits of agents Kay and Jay, members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies. In order to prevent worlds from colliding, the MiB must track down the terrorist and prevent the destruction of Earth. It's just another typical day for the Men in Black."
614,"Men in Black II",meninblackii.jpg,2002-07-03,88,"It has been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Kay has since returned to the comforts of civilian life while Jay continues to work for the Men in Black, the highly funded yet unofficial government agency that regulates all things alien on earth. While investigating a seemingly routine crime, Jay uncovers a diabolical plot masterminded by Serleena, an evil Kylothian monster who disguises herself as a sexy lingerie model. It's a race against the clock as Jay must convince Kay--who not only has no memory of his time spent with the agency, but is also the only person alive who has the expertise to save the galaxy--to reunite with the MIB before Earth is destroyed completely."
615,"Pineapple Express",pineappleexpress.jpg,2008-08-06,117,"Lazy court-process clerk and stoner Dale Denton has only one reason to visit his equally lazy dealer Saul Silver: to purchase weed, specifically, a rare new strain called Pineapple Express. But when Dale becomes the only witness to a murder by a crooked cop and the city's most dangerous drug lord, he panics and dumps his roach of Pineapple Express at the scene. Dale now has another reason to visit Saul: to find out if the weed is so rare that it can be traced back to him--and it is. As Dale and Saul run for their lives, they quickly discover that they're not suffering from weed-fueled paranoia: incredibly, the bad guys really are hot on their trail and trying to figure out the fastest way to kill them both. All aboard the Pineapple Express."
616,"Resident Evil: Degeneration",residentevildegeneration.jpg,2008-12-30,97,"A warrior seeking revenge unleashes a deadly virus in Harvardville. Responding to the threat are former special forces members Leon S. Kennedy and Claire Redfield, who look to bring down a mutated monster before history repeats itself."
617,"Bangkok Dangerous",bangkokdangerous.jpg,2008-09-05,99,"Joe is a professional hit man who picks someone off the street to do his errands, and after he is finished kills that person. His next assignment takes him to Bangkok, and as usual, he finds a street kid named Kong to help him. After Kong has a close call and learns who Joe is, Kong asks him to train him and he does. Joe also meets a local girl who is deaf and spends time with her. However, Joe has a hard time keeping his other life from her. It also appears that the person who hired Joe, breaks his rule of complete anonymity and tries to find him."
618,"Kung Fu Panda",kungfupanda.jpg,2008-06-06,92,"It's the story about a lazy, irreverent slacker panda, named Po, who is the biggest fan of Kung Fu around...which doesn't exactly come in handy while working every day in his family's noodle shop. Unexpectedly chosen to fulfill an ancient prophecy, Po's dreams become reality when he joins the world of Kung Fu and studies alongside his idols, the legendary Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- under the leadership of their guru, Master Shifu. But before they know it, the vengeful and treacherous snow leopard Tai Lung is headed their way, and it's up to Po to defend everyone from the oncoming threat. Can he turn his dreams of becoming a Kung Fu master into reality? Po puts his heart - and his girth - into the task, and the unlikely hero ultimately finds that his greatest weaknesses turn out to be his greatest strengths."
619,"Zombie Strippers",zombiestrippers.jpg,2008-09-18,94,"In a near future, President George Bush has been just elected for the fourth time with his vice Arnold Schwarzenegger and the USA is in war against many nations, among them Iraq, Syria, Lebanon, Venezuela, France and Alaska. In order to compensate the loss of soldiers, the government is researching a virus to reanimate the dead tissue of deceased soldiers and reactivate their brains, to form a powerful army of undead. When the experiment goes wrong and gets out of control in a facility in Sartre, Nebraska, the efficient Z Squad is summoned to destroy the zombies. However, the soldier Byrdflough is bitten by a zombie and afraid of being killed, he escapes to the underground Brademus strip-club owned by the greedy Ianna Esco. Byrdflough bites the star Kat and the stripper spreads the virus, turning her colleagues into zombies and eating the flesh of their clients."
620,"Burn After Reading",burnafterreading.jpg,2008-09-12,96,"Osbourne Cox, a Balkan expert, is fired at the CIA, so he begins a memoir. His wife wants a divorce and expects her lover, Harry, a philandering State Department marshal, to leave his wife. A diskette falls out of a gym bag at a Georgetown fitness center. Two employees there try to turn it into cash: Linda, who wants money for elective surgery, and Chad, an amiable goof. Information on the disc leads them to Osbourne who rejects their sales pitch; then they visit the Russian embassy. To sweeten the pot, they decide they need more of Osbourne's secrets. Meanwhile, Linda's boss likes her, and Harry's wife leaves for a book tour. All roads lead to Osbourne's house."
621,"Jeff Dunham's Christmas Special",jeffdunhamschristmasspecial.jpg,2008-11-16,85,"The multi-platinum selling comedian performs his first holiday-themed stand-up special with his friends."
622,"Max Payne",maxpayne.jpg,2008-10-17,100,"Three years ago, NYPD detective Max Payne's wife and baby were murdered. Max gets himself transferred to the cold case office where he can continue searching for the killer who got away. He's a loner, but two people reach out to him during a fateful week: Alex, his ex-partner who may have found a clue, and BB, the security chief at the pharmaceutical company where Max's wife worked. Meanwhile, bodies are piling up, some as a result of a drug on the street that is highly addictive and, for many who take it, brings hideous hallucinations. When one of the bodies is a woman Payne was the last to see alive, her sister comes looking for him armed to the teeth; Max must move fast."
623,"Righteous Kill",righteouskill.jpg,2008-09-12,101,"Turk and Rooster, two aging NYPD detectives who have been longtime partners are faced with a serial killer who is murdering sociopathic criminals. They both have personal issues, and when they start working with a younger team, Perez and Riley, tensions between the pairs of partners is inevitable, especially since Turk is now living with Perez's ex-girlfriend, also a homicide detective."
624,"Behind the Mask: The Rise of Leslie Vernon",behindthemasktheriseofleslievernon.jpg,2007-09-14,92,"The next great psycho horror slasher has given a documentary crew exclusive access to his life as he plans his reign of terror over the sleepy town of Glen Echo, all the while deconstructing the conventions and archetypes of the horror genre for them."
625,"Body of Lies",bodyoflies.jpg,2008-10-10,128,"United State's Central Intelligence Agency's Middle East Representative, Roger Ferris, is based in Amman, Jordan, and is keeping a watch on a 'safe house' and believes it to be frequented by young Muslim males. He has information that Al Saleem may be behind terrorist attacks, but lacks any evidence to apprehend him or any of his associates. His plan to implicate Dubai-based Architect, Omar Sadiki, not only fails, his Iranian girlfriend, Aisha, gets abducted, and he must decide whether to surrender himself to her abductors to negotiate her release or leave her to their mercy."
626,21,21.jpg,2008-03-28,123,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack. Intrigued by the desire to make money, Ben joins his new friends on secret weekend trips to Las Vegas where, using their skills of code talk and hand signals, they have Ben make hundreds of thousands of dollars in winning blackjack at casino after casino. Ben only wants to make enough money for the tuition to Harvard and then back out. But as fellow card counter, Jill Taylor, predicts, Ben becomes corrupted by greed and his arrogance at winning which lets his feelings get in the way, and it also puts Professor Rosa, as well as the group, on the radar of a brutal casino security enforcer, named Cole Williams, who holds a personal grudge of some kind against Rosa which threatens to undo everything the students have learned and earned."
627,"Savages, The",savagesthe.jpg,2008-01-17,114,"Jon and Wendy Savage are two siblings who have spent their adult years trying to recover from the abuse of their abusive father, Lenny Savage. Suddenly, a call comes in that his girlfriend has died, he cannot care for himself with his dementia and her family is dumping him on his children. Despite the fact Jon and Wendy have not spoken to Lenny for twenty years and he is even more loathsome than ever, the Savage siblings feel obliged to take care of him. Now together, brother and sister must come to terms with the new and painful responsibilities with their father now affecting their lives even as they struggle with their own personal demons Lenny helped create."
628,"Pridge and Glory",pridgeandglory.jpg,2008-10-24,130,"A family of police officers - patriarch, two sons, and a son-in-law - deals with corruption in a precinct in Washington Heights. Four officers die in an ambush at a drug dealer's apartment. It's brother Francis's precinct, so when the investigation led by brother Ray finds hints of police corruption, there's pressure to close ranks and save Frankie's career. Dad, a police brass, promises Ray that he and Frankie can clean things up, and Ray should focus on catching the drug dealer who killed the cops. Meanwhile, brother-in-law Jimmy, a hothead and an enforcer, is visited at home by a lowlife. Is Jimmy involved in the corruption? Where can this take the family?"
629,"Dane Cook - The Lost Pilots",danecook-thelostpilots.jpg,2007-08-28,47,"This disc features the popular comedian, Dane Cook, in two hilarious but unaired television pilots. In the first pilot, Cook stars as a comedian just cast in a sitcom and, in the second he plays a slacker who drags his pals through unusual adventures. The single disc DVD also comes with bonus features including gag reels, deleted scenes, and Dane's ad libs."
630,Wanted,wanted.jpg,2008-06-27,110,"The anxious, clumsy and abused office clerk Wesley Allan Gibson has a hell and boring routine life: his obese boss humiliates him all the time and his girlfriend betrays him with his colleague and best friend during working period. When he meets the sexy Fox, Wesley is informed that his father was a professional killer that belonged to an ancient organization called Fraternity and killed by the skilled and powerful Cross, a hit-man that has betrayed the Fraternity. Wesley learns that his anxiety actually is a manifestation of his latent abilities and he joins the society under the command of Sloan. Trained by Fox, he changes his personality and attitude, being prepared to face the dangerous Cross and find a hidden secret."
